FNFNUM,CHEM,PPCO
4,CYCLOFENCHENE,LF
4,DECYL-ALDEHYDE,LF
4,DELTA-3-CARENE,LF
4,DELTA-3-CARENE,RE
4,EO,LF
4,GAMMA-TERPINENE,LF
4,L-ALPHA-PINENE,LF
4,L-BORNYL-ACETATE,LF
4,L-LIMONENE,LF
4,LAEVOPIMARIC-ACID,RE
4,LAURALDEHYDE,LF
4,MALTOL,PL
4,MYRCENE,LF
4,NEOABIETINIC-ACID,RE
4,P-CYMENE,LF
4,PALUSTRINIC-ACID,RE
4,SABINENE,LF
4,SALICYLIC-ACID,PL
4,SANTENE,LF
4,SUCCINIC-ACID,RE
4,TERPINOLENE,LF
4,TRICYCLENE,LF
5,3-CARENE,PL
5,"4,4-DIMETHYLCYCLOHEPT-2-EN-1-OL",PL
5,ABIENOL,PL
5,ABIESLACTONE,PL
5,ALPHA-PHELLANDRENE,PL
5,ALPHA-PINENE,PL
5,ANDROL,PL
5,BETA-PHELLANDRENE,GU
5,BETULIN,BK
5,BETULIN,LF
5,BETULIN,TW
5,BORNYL-ACETATE,PL
5,BUPLEUROL,PL
5,DEHYDROJUVABIONE,PL
5,EO,LF
5,JUVABIONE,PL
5,MUCILAGE,PL
5,RESIN,GU
6,ALPHA-PINENE,BR
6,EO,BR
6,TODOMATUIC-ACID,PL
7,(+)-ABRINE,PL
7,ABRALINE,SD
7,ABRASINE,PL
7,ABRICIN,PL
7,ABRIN,SD
7,ABRISIN,PL
7,ABRUSGENIC-ACID,PL
7,ABRUSGENIC-ACID-METHYL-ESTER,PL
7,ABRUSLACTONE,PL
7,ABRUSSIC-ACID,PL
7,ANTHOCYANINS,SD
7,ASH,LF
7,CALCIUM,LF
7,CAMPESTEROL,SD
7,CARBOHYDRATES,LF
7,CHOLINE,SD
7,CYCLOARTENOL,SD
7,DELPHINIDIN,PL
7,FAT,SD
7,FIBER,LF
7,GALLIC-ACID,SD
7,GLYCYRRHIZIN,LF
7,GLYCYRRHIZIN,RT
7,HYPAPHORINE,SD
7,KILOCALORIES,LF
7,"N,N-DIMETHYL-TRYPTOPHAN",SD
7,"N,N-DIMETHYL-TRYPTOPHAN-METHO-CATION-METHYL-ESTER",SD
7,P-COUMAROYLGALLOYL-GLUCODELPHINIDIN,PL
7,PECTIN,SD
7,PENTOSANS,SD
7,PHOSPHORUS,LF
7,PICATORINE,SD
7,POLYGALACTURONIC-ACIDS,SD
7,PRECASINE,SD
7,PRECATORINE,SD
7,PROTEIN,LF
7,PROTEIN,SD
7,TRIGONELLINE,SD
7,WATER,LF
8,(+)-AFZELICHIN,PL
8,3-(BETA-L-ARABOPYRANOSIDE)-L-ARABINOSE,PL
8,3-METHOXYFLAVONES,PL
8,4-(4-O-METHYL-ALPHA-D-GLUCURONOSIDE)-L-ARABINOSE,PL
8,4-HYDROXY-PIPECOLIC-ACID,PL
8,5-(BETA-D-XYLOPYRANOSIDE)-L-ARABINOSE,PL
8,"7,3',4'-TRIHYDROXY-8-METHOXYFLAVONOL",PL
8,"7,3,4-TRIHYDROXY-3,8-DIMETHOXYFLAVONE",PL
8,"7,8,14'-TRIHYDROXYFLAVONOL",PL
8,"7,8,3',4-TETRAHYDROXY-3-METHOXYFLAVONE",PL
8,"7,8,4-TRIHYDROXY-3-METHOXYFLAVONE",PL
8,8-METHOXYFISETIN,PL
8,"8-METHOXYFLAVONE-3,4-DIONES",PL
8,ACETALDEHYDE,PL
8,ALDOBIURONIC-ACID,PL
8,ALPHA-AMINO-BETA-OXALYLAMINO-PROPIONIC-ACID,PL
8,ALPHA-CATECHIN,PL
8,ASH,LF
8,BETA-CATECHIN,PL
8,BORON,PL
8,CALCIUM,LF
8,CARBOHYDRATES,LF
8,CATECHINS,EX
8,CATECHUIC-ACID,PL
8,CATECHUTANNIC-ACID,GU
8,COBALT,PL
8,D-ARABINOSE,PL
8,D-GALACTOSE,PL
8,D-GLUCURONIC-ACID,PL
8,D-XYLOSE,PL
8,DIAMINO-ACID,PL
8,DIHYDROKAEMPFEROL,PL
8,DL-CATECHOL,PL
8,DL-EPICATECHIN,PL
8,FAT,LF
8,FIBER,LF
8,FISETIN,PL
8,FLAVOTANNIN,PL
8,FORMALDEHYDE,PL
8,GALLIC-ACID,PL
8,GALLO-TANNIN,PL
8,GAMMA-CATECHIN,PL
8,GLUCOSE,PL
8,GLUCOSYLURONIC-ACID,PL
8,GUM,PL
8,ISOACACATECHIN,PL
8,ISORHAMNETIN,PL
8,ISOVALERALDEHYDE,PL
8,KAEMPFEROL,PL
8,L-EPICATECHIN,PL
8,L-LEUCOMACLURIC-GLYCOL-ETHER,PL
8,L-RHAMNOSE,PL
8,MAGNESIUM,PL
8,MALATE-DEHYDROGENASE,PL
8,MANGANESE,PL
8,PEROXIDASE,PL
8,PHLOBATANNIN,PL
8,PHOSPHATASE,PL
8,PHOSPHORUS,LF
8,PROCYANIDIN,PL
8,PROTEIN,LF
8,QUERCETAGETIN,PL
8,QUERCETIN,PL
8,QUERCITRIN,PL
8,RUTIN,PL
8,SILICON,PL
8,TANNIN,PL
8,TAXIFOLIN,PL
8,URONIC-ACID,PL
9,(+)-CATECHIN,PL
9,"3,3',4',5',7-PENTAHYDROXY-2-PHENYLCHROMAN",PL
9,"3,3',4,4',7'-PENTAHYDROXYFLAVAN",PL
9,3-O-METHYL-L-RHAMNOSE,PL
9,"7,3',4',5-TETRAHYDROXY-FLAVAN-3-OL-CATECHIN",PL
9,ACETIC-ACID,PL
9,ALDOBIONIC-ACID,PL
9,ALPHA-CELLULOSE,PL
9,ANTHOCYANIDIN,PL
9,ANTHOCYANILIDINE,PL
9,ASH,SD
9,BETA-CAROTENE,PL
9,CARBOHYDRATES,PL
9,CELLULOSE,PL
9,D-GALACTURONIC-ACID,PL
9,D-GLUCOSE,PL
9,D-MANNOSE,PL
9,D-PINETOL,PL
9,FAT,SD
9,FIBER,PL
9,FISETINIDIN,PL
9,FRUCTOSE,PL
9,GALLIC-ACID,PL
9,INDOLE-ACETIC-ACID,PL
9,L-ARABINOSE,PL
9,L-RHAMNOSE,PL
9,LIGNIN,PL
9,MEARNSITRIN,PL
9,METHANOL,PL
9,METHYLSALICYLIC-ESTER,PL
9,PELARGONIDIN,PL
9,PHLOBAPHENE,PL
9,PHLOBAPHENE-ANHYDRIDE,PL
9,PHLOROGLUCINOL,PL
9,PROANTHOCYANIDIN,PL
9,PROTEIN,SD
9,PROTOCATECHUIC-ACID,PL
9,ROBINETIN,PL
9,RUTIN,PL
9,XANTHOPHYLL,PL
10,(+)-CATECHOL,PL
10,(+)-GALLOCATECHOL,PL
10,3-METHYL-3-E-NONEN-1-OIC-ACID,FL
10,3-METHYL-3-Z-DECEN-1-OL,FL
10,3-METHYL-3-Z-NONENOIC-ACID,FL
10,4-HYDROXY-PIPECOLIC-ACID,PL
10,ALANINE,LF
10,ALPHA-IONONE,FL
10,ALPHA-SPINASTEROL,SD
10,ALPHA-TERPINEOL,FL
10,AMINO-ACIDS,PL
10,ANISALDEHYDE,FL
10,"APIGENIN-6,8-BIS-BETA-D-GLUCOPYRANOSIDE",PL
10,ARGININE,LF
10,AROMADENDRIN,PL
10,ASCORBIC-ACID,LF
10,ASH,LF
10,ASPARTIC-ACID,PL
10,BENZALDEHYDE,FL
10,BENZOIC-ACID,FL
10,BENZYL-ALCOHOL,FL
10,BETA-CAROTENE,LF
10,BETA-GERANIOL,FL
10,BETA-IONONE,FL
10,BUTYRIC-ACID,FL
10,CALCIUM,LF
10,CALCIUM,SD
10,CAMPESTEROL,SD
10,CARBOHYDRATES,LF
10,CARBOHYDRATES,SD
10,CHOLESTEROL,SD
10,CIS-3-METHYL-DEC-3-EN-1-OL,FL
10,CIS-3-METHYL-DEC-3-ENOIC-ACID,FL
10,COUMARIN,FL
10,CRESOLS,PL
10,CUMINALDEHYDE,FL
10,CUMINIC-ALCOHOL,FL
10,CYSTINE,SD
10,DECYL-ALDEHYDE,FL
10,DIHYDROACTINIDIOLIDE,FL
10,EICOSANE,FL
10,ELLAGIC-ACID,PL
10,EO,FL
10,ETHYL-ESTER,PL
10,ETHYL-PHENOL,FL
10,EUGENOL,FL
10,FARNESOL,FL
10,FAT,LF
10,FAT,SD
10,FIBER,LF
10,GALLIC-ACID,PL
10,GERANIOL,FL
10,GERANYL-ACETATE,FL
10,GLUTAMIC-ACID,LF
10,GLYCINE,LF
10,HCN,LF
10,HISTIDINE,LF
10,HYDROXYACETOPHENONE,PL
10,IRON,LF
10,ISOLEUCINE,LF
10,ISOLEUCINE,SD
10,ISORHAMNETIN-3-RUTINOSIDE,PL
10,KAEMPFEROL,PL
10,KAEMPFEROL-7-GALLOYLGLUCOSE,PL
10,KAEMPFEROL-7-GLUCOSIDE,PL
10,LEUCINE,LF
10,LEUCINE,SD
10,LINALOL,FL
10,LINALYL-ACETATE,FL
10,LINAMARIN,PL
10,LOTAUSTRALIN,PL
10,LYSINE,LF
10,LYSINE,SD
10,M-DIGALLIC-ACID,PL
10,METHIONINE,LF
10,METHIONINE,SD
10,METHYL-EUGENOL,FL
10,METHYL-GALLATE,PL
10,METHYL-SALICYLATE,FL
10,MUCILAGE,PL
10,MYRICETIN-4'-METHYLETHER-3-RHAMNOSIDE,PL
10,N-ACETYL-DJENKKOLIC-ACID,PL
10,N-METHYL-BETA-PHENETHYLAMINE,FL
10,NARINGENIN-7-GLUCOSIDE,PL
10,NARINGENIN-7-RHAMNOGLUCOSIDE,PL
10,NEROLIDOL,FL
10,NIACIN,LF
10,NITROGEN,LF
10,NONACOSANE,FL
10,P-CRESOL,FL
10,PALMITIC-ACID,FL
10,PHENYLALANINE,LF
10,PHENYLALANINE,SD
10,PHOSPHORUS,LF
10,PHOSPHORUS,SD
10,PIPECOLIC-ACID,PL
10,PROLINE,LF
10,PROTEIN,LF
10,PROTEIN,SD
10,PRUNIN-O-6'-GALLATE,PL
10,QUERCETIN-3-0-RUTINOSIDE,PL
10,RIBOFLAVIN,LF
10,SALICYLIC-ACID,PL
10,SERINE,LF
10,SITOSTEROL,SD
10,STIGMASTEROL,SD
10,TANNINS,FR
10,THIAMIN,LF
10,THREONINE,LF
10,THREONINE,SD
10,TRANS-3-METHYL-DEC-4-ENOIC-ACID,FL
10,TRIACONTANOL,LF
10,TRYPTOPHAN,SD
10,TYRAMINE,PL
10,TYROSINE,LF
10,VALINE,LF
10,VALINE,SD
10,WATER,LF
11,BETA-AMYRIN,PL
11,BETULINIC-ACID-3-O-MALTOSIDE,PL
11,GLYCOSIDE,PL
11,HCN,PL
11,LEUCOPHLEOL,PL
11,LEUCOPHLEOXOL,PL
11,LEUCOXOL,PL
11,MYRICETIN,PL
11,N-OCTACOSANOL,PL
11,TANNIN,PL
12,"2,6-DIMETHOXY-1,4-BENZOQUINONE",PL
12,2-METHYL-6-METHOXY-FURANOBENZOQUINONE,PL
12,"6-METHOXY-2-METHYL-3,5-DIHYDROBENZOFURANO-4,7-DIONE",PL
12,ACAMELIN,PL
12,ACETIC-ACID,PL
12,ANTHOCYANIDINS,PL
12,CELLULOSE,PL
12,FAT,SD
12,"FLAVAN-3,4-DIOL",PL
12,GIBBERELLIC-ACID,PL
12,HYPEROSIDE,PL
12,LEUCOANTHOCYANINS,PL
12,METHANOL,PL
12,PHLOBAPHENE,PL
12,PROTEIN,SD
12,TANNIN,PL
13,(+)-CATECHIN,PL
13,(+)-GALLOCATECHOL,PL
13,(+)-LEUCOCYANIDIN,PL
13,(+)-PYROCATECHOL,PL
13,(3)-LEUCOCYANIDIN-GALLATE,PL
13,2-O-BETA-L-ARABINOFURANOSYL-L-ARABINOSE,PL
13,"3',4',5,7-TETRAHYDROXYFLAVAN-3-OL",FR
13,"3',4',5,7-TETRAHYDROXYFLAVAN-3-OL(-)-EPICATECHOL",FR
13,"3',4',7,8-TETRAHYDROXYFLAVONOID",PL
13,"3',4',7-TRIHYDROXYFLAVAN-3,4-DIOL",FR
13,3-O-BETA-L-ARABINOPYRANOSYL-L-ARABINOSE,RE
13,3-QUINOLYL-ACID,PL
13,"4',7,8-TRIHYDROXYFLAVONOID",PL
13,4-ALDOBIOURONIC-ACID,PL
13,6-HYDROXYQUINOLINE,PL
13,7-COUMARINYL-ACID,PL
13,7-HYDROXYQUINOLINE,PL
13,8-HYDROXYQUINOLINE,PL
13,ALDOBIONIC-ACID,PL
13,ALDOBIOTRIOURONIC-ACID,PL
13,ALPHA-SITOSTEROL,PL
13,ALUMINUM,PL
13,AMYLASE,PL
13,ARABIC-ACID,PL
13,ARABINOFURANOSYL-L-ARABINOSE,RE
13,ARABINOSE,FR
13,ASCORBIC-ACID,PL
13,ASCORBIC-ACID-OXIDASE,PL
13,ASH,SD
13,BETA-AMYRIN,RT
13,BETA-CAROTENE,PL
13,BETULIN,PL
13,BETULIN,RB
13,CALCIUM,PL
13,CARBOHYDRATES,PL
13,CELLULOSE,PL
13,CHLOROGENIC-ACID,PL
13,D-CATECHOL,PL
13,D-GALACTOSE,PL
13,D-GLUCURONIC-ACID,PL
13,DIASTASE,PL
13,DICATECHOL,PL
13,DIGITONIN,PL
13,ELLAGIC-ACID,BK
13,EPICATECHOL-GALLATE,PL
13,FAT,SD
13,FIBER,SD
13,FRUCTOSE,PL
13,GALACTURONIC-ACID,PL
13,GALLIC-ACID,RE
13,GLUCOSE,FR
13,HYDROQUINONE,PL
13,INDOLE-ACETIC-ACID,PL
13,ISOQUERCITRIN,PL
13,ISORHAMNETIN-3-RUTINOSIDE,PL
13,KAEMPFEROL-3-0-GLUCOSIDE,PL
13,KAURENIC-ACID,PL
13,L-ARABINOSE,PL
13,LACTONE,PL
13,LIGNIN,PL
13,LINOELIC-ACID,PL
13,LYSOLECITHIN,PL
13,M-AMINOPHENYL-GLYCOSIDE,PL
13,M-DIGALLIC-ACID,BK
13,MAGNESIUM,PL
13,MALIC-ACID,PL
13,MALTASE,PL
13,MANGANESE,PL
13,MONOBUTYRINASE,PL
13,MUCILAGE,PL
13,MYRECETIN-4'-METHYLETHER-3-RHAMNOSIDE,PL
13,OCTACOSANOL,RT
13,OLEIC-ACID,PL
13,OXALIC-ACID,PL
13,OXIDASE,PL
13,PEROXIDASE,PL
13,PHLOBAPHENE,PL
13,PHLOBATANNIN,PL
13,PHLOROGLUCINOL,PL
13,POLYPHENOL-OXIDASE,PL
13,POTASSIUM,PL
13,PROTEIN,SD
13,PROTOCATECHUIC-ACID,FR
13,PYROGALLOL,PL
13,QUERCETIN,PL
13,QUERCETIN-3-0-RUTINOSIDE,PL
13,QUERCITRIN,PL
13,RAFFINOSE,SD
13,RHAMNOSE,FR
13,RIBOFLAVIN,PL
13,ROBIDANDIOL,PL
13,ROSIN,PL
13,SAPONIN,PL
13,SILICON,PL
13,SODIUM,PL
13,SUCROSE,SD
13,TANNASE,PL
13,TANNIN,BK
13,TANNIN,FR
13,TANNIN,RE
13,TANNIN,SD
13,TANNIN,WD
13,THIAMIN,PL
13,URONIC-ACID,PL
13,XANTHURENIC-ACID,PL
13,XYLOSE,FR
14,4-METHOXYGLUCURONIC-ACID,PL
14,ARABIC-ACID,PL
14,ARABINOSE,PL
14,ASCORBIC-ACID,PL
14,ASH,FR
14,ASH,LF
14,ASH,SD
14,ASPARTIC-ACID,PL
14,BETA-AMYRIN,BK
14,BETA-SITOSTEROL,PL
14,BETA-SITOSTEROL-3-O-BETA-D-GLUCOSIDE,FL
14,BETA-SITOSTEROL-D-GLUCOSIDE,PL
14,BETULIN,FL
14,BETULIN,RT
14,CALCIUM,LF
14,CARBOHYDRATES,FR
14,CARBOHYDRATES,LF
14,CARBOHYDRATES,SD
14,CERYL-ALCOHOL,RT
14,CYSTEINE,PL
14,D-GALACTOSE,PL
14,D-GLUCOSIDE,PL
14,D-PINITOL,LF
14,DIMETHYLTRYPTAMINE,PL
14,ERYTHRODIOL,PL
14,FAT,FR
14,FAT,LF
14,FAT,SD
14,FIBER,FR
14,FIBER,LF
14,FIBER,SD
14,GALACTOGLUCURONIC-ACID,PL
14,GLUCURONIC-ACID,PL
14,HCN,PL
14,HENTRIACONTAN-1-OL,LF
14,HENTRIACONTANE,PL
14,HENTRIACONTANOL,PL
14,KAEMPFEROL,PL
14,L-ARABINOSE,PL
14,L-RHAMNOSE,PL
14,LEUCINE,PL
14,MAGNESIUM,PL
14,N-HENTRIACONTANE,LF
14,N-NONACOSANE,LF
14,OCTACOSAN-1-OL,BK
14,OCTACOSAN-1-OL,FL
14,OCTACOSAN-1-OL,WD
14,OCTACOSANOL,PL
14,PEROXIDASE,PL
14,PHOSPHORUS,LF
14,PHOSPHORUS,SD
14,POTASSIUM,PL
14,QUERCETIN,PL
14,RHAMNOSE,PL
14,RHAMNOSE-HYDRATE,PL
14,SERINE,PL
14,SITOSTEROL,PL
14,SODIUM,PL
14,SUCROSE,PL
14,TANNIN,PL
14,URONIC-ACID,PL
14,UVAOL,BK
14,VALINE,PL
15,(+)-CATECHOL,PL
15,(+)-GALLOCATECHOL,PL
15,4-HYDROXY-PIPECOLIC-ACID,SD
15,ALDOBIOURONIC-ACID,GU
15,"APIGENIN-6,8-BIS-C-GLUCOSIDE",LF
15,ASH,FR
15,ASH,LF
15,ASH,SD
15,BETULIN,HW
15,BETULIN,SB
15,CALCIUM,FR
15,CALCIUM,LF
15,CALCIUM,SD
15,CARBOHYDRATES,FR
15,CARBOHYDRATES,LF
15,CARBOHYDRATES,SD
15,DJENKOLIC-ACID,SD
15,FAT,FR
15,FAT,LF
15,FAT,SD
15,FIBER,FR
15,FIBER,LF
15,FIBER,SD
15,FLAVONOIDS,LF
15,GALLIC-ACID,PL
15,HCN,LF
15,ISORHAMNETIN-3-RUTINOSIDE,LF
15,LUTEOLIN-7-GLUCOSIDE,LF
15,MYRICETIN-4'-METHYLETHER-3-RHAMNOSIDE,LF
15,N-ACETYLDJENKOLIC-ACID,SD
15,PHOSPHORUS,FR
15,PHOSPHORUS,LF
15,PHOSPHORUS,SD
15,PIPECOLIC-ACID,LF
15,PROTEIN,FR
15,PROTEIN,LF
15,PROTEIN,SD
15,QUERCETIN-3'-GLUCOSIDE,LF
15,QUERCETIN-3-0-RUTINOSIDE,LF
15,QUERCETIN-4'-GLUCOSIDE,LF
15,TANNIN,BK
15,TANNIN,LF
16,1-INOSITOLMONOMETHYLETHER,LF
16,2-METHYLANTHRAQUINONE,PL
16,ACALYPHAMIDE,PL
16,ACALYPHINE,PL
16,AURANTIAMIDE,PL
16,BETA-SITOSTEROL-BETA-D-GLUCOSIDE,PL
16,CALCIUM-OXALATE,LF
16,GAMMA-SITOSTEROL-ACETATE,PL
16,HCN,LF
16,QUEBRACHITOL,PL
16,RESIN,PL
16,SUCCINIMIDE,PL
16,TANNIN,PL
16,TRI-O-METHYL-ELLAGIC-ACID,PL
16,TRIACETONAMINE,PL
17,4-METHOXYSALICYLALDEHYDE,RB
17,ARACHIDIC-ACID,PL
17,ARSENIC,RB
17,CALCIUM,RB
17,COPPER,RB
17,IRON,RB
17,LINOLEIC-ACID,PL
17,MAGNESIUM,RB
17,MANGANESE,RB
17,MERCURY,RB
17,PALMITIC-ACID,PL
17,POTASSIUM,RB
17,SODIUM,RB
17,ZINC,RB
18,"1,8-CINEOLE",LF
18,"2,3-DIHYDROACETOXYMATRICIN",PL
18,"5-HYDROXY-3,6,7,4'-TETRAMETHOXYFLAVONE",PL
18,8-ACETOCYARTABSIN,PL
18,8-ANELOOXYARTABSIN,PL
18,ACETYLBALCHANOLIDE,PL
18,ACHICEINE,PL
18,ACHILLEINE,PL
18,ACHILLETINE,PL
18,ACHILLICIN,PL
18,ACHILLIN,PL
18,ACONITIC-ACID,PL
18,ALLO-OCIMENE,LF
18,ALPHA-PINENE,LF
18,ALPHA-TERPINENE,LF
18,ALPHA-THUJONE,PL
18,ALUMINUM,PL
18,APIGENIN,PL
18,APIGENIN-GLUCOSIDE,PL
18,ARABINOSE,PL
18,ARTEMITIN,PL
18,ASCORBIC-ACID,LF
18,ASH,PL
18,ASPARAGINE,PL
18,AUSTRICIN,PL
18,AZULENE,LF
18,BALCHANOLIDE,PL
18,BENZALDEHYDECYANHYDRINGLYCOSIDE,PL
18,BETA-CAROTENE,PL
18,BETA-PINENE,LF
18,BETA-SITOSTEROL,PL
18,BETA-SITOSTEROL-ACETATE,PL
18,BETAINE,PL
18,BETONICINE,PL
18,BORNYL-ACETATE,PL
18,BUTYRIC-ACID,PL
18,CAFFEIC-ACID,PL
18,CALCIUM,PL
18,CARBOHYDRATES,PL
18,CASTICIN,PL
18,CEROTINIC-ACID,PL
18,CHAMAZULENE,PL
18,CHAMAZULENE-CARBOXYLIC-ACID,PL
18,CHOLINE,PL
18,CHROMIUM,PL
18,CINEOLE,PL
18,CIS-DEHYDROMATRICARIA-ESTER,LF
18,COBALT,PL
18,COPAENE,LF
18,COUMARINS,PL
18,CUMINALDEHYDE,LF
18,DEACETYLMATRICARIN,PL
18,DELTA-CADINENE,LF
18,DULCITOL,PL
18,EO,FL
18,EO,LF
18,EUGENOL,PL
18,FARNESENE,PL
18,FAT,PL
18,FAT,SD
18,FIBER,PL
18,FOLACIN,PL
18,FORMIC-ACID,PL
18,FURFURAL,PL
18,FURFURYL-ALCOHOL,PL
18,GALACTOSE,PL
18,GAMMA-TERPINENE,LF
18,GLUCOSE,PL
18,GUAIAZULENE,PL
18,HEPTADECANE,PL
18,HOMOSTACHYDRINE,PL
18,HUMULENE,LF
18,HYDROXYACHILLIN,PL
18,INULIN,PL
18,IRON,PL
18,ISOARTEMISIA-KETONE,PL
18,ISOBUTYL-ACETATE,PL
18,ISORHAMNETIN,PL
18,ISOVALERIC-ACID,PL
18,KILOCALORIES,PL
18,LEUCODIN,PL
18,LUTEOLIN,PL
18,LUTEOLIN-7-GLUCOSIDE,PL
18,MAGNESIUM,PL
18,MANGANESE,PL
18,MANNITOL,PL
18,MILLEFIN,PL
18,MILLEFOLIDE,PL
18,MOSCHATINE,PL
18,MYRCENE,LF
18,MYRISTIC-ACID,PL
18,NIACIN,PL
18,OLEIC-ACID,PL
18,P-CYMENE,LF
18,PALMITIC-ACID,PL
18,PENTACOSANE,PL
18,PHOSPHORUS,PL
18,PONTICAEPOXIDE,PL
18,POTASSIUM,PL
18,PROAZULENE,PL
18,PROTEIN,PL
18,PROTEIN,SD
18,QUERCETIN,PL
18,QUERCETIN-GLYCOSIDE,PL
18,QUERCITRIN,PL
18,RESIN,PL
18,RIBOFLAVIN,PL
18,RUTIN,PL
18,SABINENE,LF
18,SALICYLIC-ACID,PL
18,SELENIUM,PL
18,SILICON,PL
18,SODIUM,PL
18,STACHYDRINE,PL
18,STIGMASTEROL,PL
18,SUCCINIC-ACID,PL
18,TANNIN,PL
18,TERPINEN-4-OL,LF
18,TERPINEOL,PL
18,THIAMIN,PL
18,THIOPHENES,FL
18,THIOPHENES,LF
18,TIN,PL
18,TRANS-DEHYDROMATRICARIA-ESTER,LF
18,TRICOSANE,PL
18,TRICYCLENE,LF
18,TRIGONELLINE,PL
18,VIBURNITOL,PL
18,WATER,PL
18,ZINC,PL
19,1-METHYL-PIPECOLIC-ACID-METHYLBETAINE,PL
19,ACHILLEIN,PL
19,ACHILLETINE,PL
19,BORNYL-ACETATE,PL
19,CHAMAZULENE,PL
19,CINEOLE,PL
19,EO,PL
19,IVAIN,PL
19,IVAOL,PL
19,L-CAMPHOR,PL
19,MOSCHATINE,PL
19,MOSCHETIN,PL
19,PALMITIC-ACID,PL
19,PARAFFIN,PL
19,VALERALDEHYDE,PL
20,ACHYRANTHINE,PL
20,BETAINE,RT
20,ECDYSTERONE,SH
20,GALACTOSE,PL
20,GLUCOSE,PL
20,HENTRIACONTANE,SD
20,OLEANOLIC-ACID,PL
20,RHAMNOSE,PL
20,SAPOGENINS,PL
20,XYLOSE,PL
21,ARSENIC,RT
21,BETA-SITOSTEROL,RT
